Team1,Team2,Score1,Score2,Date/Time,nb_matches1,nb_matches2,goals_past1,goals_past2,ratio_goals_past1,ratio_goals_past2,nb_wins1,nb_wins2,ratio_wins1,ratio_wins2,nb_losses1,nb_losses2,ratio_losses1,ratio_losses2,nb_draws1,nb_draws2,ratio_draws1,ratio_draws2,nb_wins_opp1,nb_wins_opp2,ratio_wins_opp1,ratio_wins_opp2,nb_losses_opp1,nb_losses_opp2,ratio_losses_opp1,ratio_losses_opp2,nb_draws_opp1,nb_draws_opp2,ratio_draws_opp1,ratio_draws_opp2,Ranks1,Ranks2,Points1,Points2,Year,Population1,Population2
Bahrain,Lebanon,1,0,2018-12-27 18:00:00,7,5,11,1,0.6875,0.2,2,1,0.2857142857142857,0.2,2,1,0.2857142857142857,0.4,3,2,0.42857142857142855,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,81,1178,1296,2018,1442394.0,6021629.0
India,Oman,0,0,2018-12-27 15:00:00,7,9,7,8,0.5,0.6153846153846154,2,3,0.2857142857142857,0.3333333333333333,2,3,0.5714285714285714,0.0,1,6,0.14285714285714285,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,97,82,1240,1295,2018,1358137719.0,4774323.0
Qatar,Algeria,0,1,2018-12-27 12:00:00,10,6,19,7,0.6333333333333333,0.3684210526315789,7,1,0.7,0.16666666666666666,7,1,0.1,0.8333333333333334,2,0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,67,1258,1347,2018,2378373.0,41729942.0
Qatar,Kyrgyzstan,1,0,2018-12-25 18:00:00,9,6,18,5,0.6206896551724138,0.35714285714285715,6,3,0.6666666666666666,0.5,6,3,0.1111111111111111,0.3333333333333333,2,1,0.2222222222222222,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,91,1258,1264,2018,2378373.0,6213441.0
Afghanistan,Turkmenistan,0,2,2018-12-25 14:00:00,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,147,127,1068,1120,2018,34935713.0,5565070.0
Jordan,Iran,1,1,2018-12-25 14:00:00,14,14,15,17,0.5172413793103449,0.6538461538461539,5,8,0.35714285714285715,0.5714285714285714,5,8,0.35714285714285715,0.21428571428571427,4,3,0.2857142857142857,0.21428571428571427,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,29,1196,1481,2018,7985411.0,81810283.0
Vietnam,North Korea,1,1,2018-12-25 13:00:00,0,2,0,2,0.0,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.5,0,1,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,100,53,1229,1405,2018,96356744.0,25527001.0
Palestine,Iran,1,1,2018-12-24 15:00:00,9,13,6,16,0.35294117647058826,0.6666666666666666,2,8,0.2222222222222222,0.6153846153846154,2,8,0.3333333333333333,0.2307692307692308,4,2,0.4444444444444444,0.15384615384615385,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,99,29,1236,1481,2018,5061292.0,81810283.0
Iraq,China,2,1,2018-12-24 13:00:00,9,10,13,9,0.52,0.75,2,5,0.2222222222222222,0.5,2,5,0.2222222222222222,0.1,5,4,0.5555555555555556,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,88,76,1271,1317,2018,39751312.0,1393686493.0
Qatar,Jordan,2,0,2018-12-23 17:00:00,8,13,16,15,0.5925925925925926,0.5555555555555556,5,5,0.625,0.38461538461538464,5,5,0.125,0.3076923076923077,2,4,0.25,0.3076923076923077,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,93,109,1258,1196,2018,2378373.0,7985411.0
Bahrain,Tajikistan,5,0,2018-12-20 17:00:00,6,2,6,1,0.5454545454545454,0.25,1,0,0.16666666666666666,0.0,1,0,0.3333333333333333,1.0,3,0,0.5,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,113,120,1178,1158,2018,1442394.0,9046723.0
Jordan,Kyrgyzstan,0,1,2018-12-20 16:00:00,12,5,15,4,0.5769230769230769,0.3076923076923077,5,2,0.4166666666666667,0.4,5,2,0.25,0.4,4,1,0.3333333333333333,0.2,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,109,91,1196,1264,2018,7985411.0,6213441.0
Palestine,Pakistan,2,0,2018-12-16 17:00:00,8,1,4,1,0.26666666666666666,0.3333333333333333,1,0,0.125,0.0,1,0,0.375,1.0,4,0,0.5,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,99,201,1230,884,2018,5061292.0,200662818.0
Oman,Tajikistan,1,0,2018-12-16 15:00:00,8,1,7,1,0.5833333333333334,0.3333333333333333,2,0,0.25,0.0,2,0,0.0,1.0,6,0,0.75,0.0,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,84,120,1288,1156,2018,4774323.0,9046723.0
Croatia,Turkey,0,0,2018-12-15 14:00:00,24,20,38,31,0.5205479452054794,0.5535714285714286,12,9,0.5,0.45,12,9,0.3333333333333333,0.3,4,5,0.16666666666666666,0.25,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5,4,38,1643,1455,2018,4194538.0,81086257.0
Bosnia and Herzegovina,Montenegro,2,0,2018-12-15 10:00:00,12,15,11,11,0.6470588235294118,0.3333333333333333,5,3,0.4166666666666667,0.2,5,3,0.25,0.3333333333333333,4,7,0.3333333333333333,0.4666666666666667,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,39,41,1452,1440,2018,3782297.0,626240.0
Israel,Germany,0,2,2018-12-13 17:00:00,11,24,18,42,0.5806451612903226,0.6268656716417911,4,12,0.3636363636363637,0.5,4,12,0.2727272727272727,0.2916666666666667,4,5,0.3636363636363637,0.2083333333333333,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,93,15,1256,1561,2018,8455489.0,80560850.0
Oman,Tajikistan,2,1,2018-12-13 15:30:00,8,0,6,0,0.6,0.0,2,0,0.25,0.0,2,0,0.0,0.0,6,0,0.75,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,84,120,1288,1156,2018,4774323.0,9046723.0
Croatia,Bosnia and Herzegovina,1,2,2018-12-13 15:00:00,23,11,37,9,0.5285714285714286,0.6428571428571429,12,4,0.5217391304347826,0.3636363636363637,12,4,0.3043478260869565,0.2727272727272727,4,4,0.17391304347826084,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,39,1643,1452,2018,4194538.0,3782297.0
Turkey,Montenegro,3,0,2018-12-13 11:00:00,19,14,28,11,0.5283018867924528,0.3666666666666665,8,3,0.42105263157894735,0.21428571428571427,8,3,0.3157894736842105,0.2857142857142857,5,7,0.2631578947368421,0.5,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,38,41,1455,1440,2018,81086257.0,626240.0
Croatia,Montenegro,1,3,2018-12-11 15:00:00,22,13,36,8,0.5454545454545454,0.3076923076923077,12,2,0.5454545454545454,0.15384615384615385,12,2,0.2727272727272727,0.3076923076923077,4,7,0.18181818181818185,0.5384615384615384,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,4,41,1643,1440,2018,4194538.0,626240.0
Belarus,Georgia,2,3,2018-12-11 12:00:00,16,9,16,19,0.3809523809523809,0.6551724137931034,3,4,0.1875,0.4444444444444444,3,4,0.5,0.1111111111111111,5,4,0.3125,0.4444444444444444,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,78,96,1306,1242,2018,9429102.0,3973681.0
Turkey,Bosnia and Herzegovina,2,1,2018-12-11 11:00:00,18,10,26,8,0.52,0.7272727272727273,7,4,0.3888888888888889,0.4,7,4,0.3333333333333333,0.2,5,4,0.2777777777777778,0.4,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,38,39,1455,1452,2018,81086257.0,3782297.0
Germany,Serbia,1,1,2018-12-11 10:00:00,23,16,41,14,0.6307692307692307,0.4,12,3,0.5217391304347826,0.1875,12,3,0.3043478260869565,0.625,4,3,0.17391304347826084,0.1875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,15,36,1561,1459,2018,80560850.0,8742764.0
Spain,Portugal,3,2,2018-12-06 16:00:00,14,29,29,45,0.6904761904761905,0.5921052631578947,7,13,0.5,0.4482758620689655,7,13,0.0,0.206896551724138,7,10,0.5,0.3448275862068966,0,0,0.0,0.0,0,0,0.0,0.0,2,2,1.0,1.0,9,7,1580,1599,2018,46116884.0,10229432.0
Portugal,Spain,1,1,2018-12-04 17:00:00,28,13,44,28,0.5945945945945946,0.7,13,7,0.4642857142857143,0.5384615384615384,13,7,0.21428571428571427,0.0,9,6,0.32142857142857145,0.4615384615384616,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,7,9,1599,1580,2018,10229432.0,46116884.0
Montenegro,Slovenia,0,1,2018-11-29 13:00:00,12,10,8,18,0.32,0.5294117647058824,2,5,0.16666666666666666,0.5,2,5,0.25,0.4,7,1,0.5833333333333334,0.1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,41,55,1440,1392,2018,626240.0,2073018.0
El Salvador,Haiti,1,0,2018-11-21 02:00:00,2,1,1,0,0.16666666666666666,0.0,1,0,0.5,0.0,1,0,0.5,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,72,104,1332,1212,2018,6188441.0,11116513.0
Panama,Ecuador,1,2,2018-11-21 02:00:00,12,7,5,16,0.15625,0.7272727272727273,1,5,0.08333333333333333,0.7142857142857143,1,5,0.75,0.14285714285714285,2,1,0.16666666666666666,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,69,60,1343,1376,2018,4111706.0,16864977.0
Peru,Costa Rica,2,3,2018-11-21 01:30:00,15,13,22,13,0.6285714285714286,0.34210526315789475,7,3,0.4666666666666667,0.2307692307692308,7,3,0.4,0.6923076923076923,2,1,0.13333333333333333,0.07692307692307693,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,20,32,1535,1471,2018,32553697.0,4952954.0
Chile,Honduras,4,1,2018-11-21 01:15:00,13,4,14,2,0.5,0.3333333333333333,5,1,0.38461538461538464,0.25,5,1,0.2307692307692308,0.5,5,1,0.38461538461538464,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,12,61,1570,1368,2018,18492710.0,8420268.0
Argentina,Mexico,2,0,2018-11-21 01:00:00,12,19,22,17,0.5789473684210527,0.3953488372093023,6,7,0.5,0.3684210526315789,6,7,0.3333333333333333,0.5263157894736842,2,2,0.16666666666666666,0.10526315789473684,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,11,16,1574,1560,2018,44691517.0,131788271.0
France,Uruguay,1,0,2018-11-20 21:00:00,30,16,59,28,0.6555555555555556,0.5833333333333334,18,8,0.6,0.5,18,8,0.1,0.4375,9,1,0.3,0.0625,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,1,5,1726,1627,2018,65205671.0,3469771.0
Italy,United States,1,0,2018-11-20 20:45:00,23,10,33,10,0.5,0.43478260869565216,9,3,0.39130434782608703,0.3,9,3,0.3478260869565217,0.4,6,3,0.2608695652173913,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,21,22,1532,1508,2018,59788104.0,328835763.0
Brazil,Cameroon,1,0,2018-11-20 20:30:00,17,2,30,3,0.8571428571428571,0.6,12,1,0.7058823529411765,0.5,12,1,0.05882352941176471,0.5,4,0,0.2352941176470588,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,3,47,1657,1416,2018,212873151.0,25111719.0
Albania,Wales,1,0,2018-11-20 20:00:00,11,7,12,7,0.42857142857142855,0.4375,4,2,0.3636363636363637,0.2857142857142857,4,2,0.4545454545454545,0.2857142857142857,2,3,0.18181818181818185,0.42857142857142855,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,58,19,1384,1536,2018,2919422.0,3163803.312
Turkey,Ukraine,0,0,2018-11-20 18:30:00,17,12,26,19,0.52,0.5588235294117647,7,5,0.4117647058823529,0.4166666666666667,7,5,0.35294117647058826,0.25,4,4,0.2352941176470588,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38,35,1455,1468,2018,81086257.0,44170002.0
Tunisia,Morocco,0,1,2018-11-20 18:00:00,9,9,11,13,0.4230769230769231,0.6190476190476191,3,5,0.3333333333333333,0.5555555555555556,3,5,0.4444444444444444,0.2222222222222222,2,2,0.2222222222222222,0.2222222222222222,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,24,46,1498,1418,2018,11611602.0,35651885.0
Denmark,England,1,5,2018-11-20 18:00:00,22,21,25,39,0.4901960784313725,0.6842105263157895,7,13,0.3181818181818182,0.6190476190476191,7,13,0.3636363636363637,0.14285714285714285,7,5,0.3181818181818182,0.2380952380952381,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,6,1580,1615,2018,5732713.0,55366557.96
Jordan,Saudi Arabia,1,1,2018-11-20 18:00:00,11,16,14,17,0.5833333333333334,0.37777777777777777,5,5,0.4545454545454545,0.3125,5,5,0.2727272727272727,0.5,3,3,0.2727272727272727,0.1875,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,110,70,1192,1336,2018,7985411.0,33299935.0
South Africa,Paraguay,1,1,2018-11-20 18:00:00,2,4,4,4,0.8,0.2857142857142857,2,0,1.0,0.0,2,0,0.0,0.75,0,1,0.0,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,74,30,1327,1477,2018,55866711.0,6897385.0
Kuwait,Syria,1,2,2018-11-20 17:00:00,9,7,8,7,0.4,0.4375,2,1,0.2222222222222222,0.14285714285714285,2,1,0.3333333333333333,0.2857142857142857,4,4,0.4444444444444444,0.5714285714285714,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,159,73,1012,1328,2018,4176642.0,19482401.0
Iraq,Bolivia,0,0,2018-11-20 17:00:00,9,11,13,9,0.5,0.2903225806451613,2,1,0.2222222222222222,0.09090909090909093,2,1,0.3333333333333333,0.5454545454545454,4,4,0.4444444444444444,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,89,59,1274,1378,2018,39751312.0,11217865.0
Iran,Venezuela,1,1,2018-11-20 16:30:00,12,6,15,6,0.6818181818181818,0.4615384615384616,8,2,0.6666666666666666,0.3333333333333333,8,2,0.25,0.5,1,1,0.08333333333333333,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,32,31,1471,1476,2018,81810283.0,32328063.0
Nigeria,Uganda,0,0,2018-11-20 16:30:00,8,3,6,1,0.375,0.25,2,0,0.25,0.0,2,0,0.625,0.6666666666666666,1,1,0.125,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,49,82,1410,1296,2018,196752840.0,43020681.0
Turkey,Norway,2,3,2018-11-20 16:00:00,16,11,24,15,0.5333333333333333,0.5555555555555556,7,5,0.4375,0.4545454545454545,7,5,0.3125,0.2727272727272727,4,3,0.25,0.2727272727272727,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,38,53,1455,1406,2018,81086257.0,5387342.0
United Arab Emirates,Yemen,2,0,2018-11-20 15:25:00,8,2,6,0,0.4615384615384616,0.0,2,0,0.25,0.0,2,0,0.375,1.0,3,0,0.375,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,77,133,1312,1112,2018,9542843.0,28758331.0
Portugal,Netherlands,1,2,2018-11-20 14:00:00,27,16,43,25,0.6056338028169014,0.5319148936170213,13,6,0.4814814814814815,0.375,13,6,0.1851851851851852,0.3125,9,5,0.3333333333333333,0.3125,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0,7,17,1599,1540,2018,10229432.0,17084531.0
Cyprus,Georgia,1,1,2018-11-20 13:30:00,6,8,1,18,0.09090909090909093,0.6666666666666666,0,4,0.0,0.5,0,4,0.8333333333333334,0.125,1,3,0.16666666666666666,0.375,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,87,96,1280,1242,2018,1198198.0,3973681.0
China,Palestine,1,1,2018-11-20 13:00:00,9,7,8,3,0.8,0.2307692307692308,5,1,0.5555555555555556,0.14285714285714285,5,1,0.1111111111111111,0.42857142857142855,3,3,0.3333333333333333,0.42857142857142855,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,75,99,1320,1230,2018,1393686493.0,5061292.0
Japan,Kyrgyzstan,4,0,2018-11-20 11:20:00,18,7,27,12,0.5294117647058824,0.7058823529411765,8,5,0.4444444444444444,0.7142857142857143,8,5,0.3888888888888889,0.14285714285714285,3,1,0.16666666666666666,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,55,92,1392,1260,2018,125738357.0,6213441.0
Uzbekistan,South Korea,0,4,2018-11-20 11:00:00,10,17,8,20,0.42105263157894735,0.5128205128205128,2,6,0.2,0.35294117647058826,2,6,0.4,0.35294117647058826,4,5,0.4,0.29411764705882354,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,95,108,1247,1196,2018,31064765.0,50896594.0
Australia,Lebanon,3,0,2018-11-20 09:30:00,9,4,14,1,0.56,0.5,3,1,0.3333333333333333,0.25,3,1,0.3333333333333333,0.25,3,2,0.3333333333333333,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,43,79,1431,1304,2018,24966531.0,6021629.0
France,Spain,1,1,2018-11-19 21:00:00,29,12,58,27,0.6590909090909091,0.7105263157894737,18,7,0.6206896551724138,0.5833333333333334,18,7,0.10344827586206896,0.0,8,5,0.27586206896551724,0.4166666666666667,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,9,1726,1580,2018,65205671.0,46116884.0
Qatar,Iceland,2,2,2018-11-19 19:30:00,8,17,15,25,0.5769230769230769,0.4716981132075472,5,3,0.625,0.17647058823529413,5,3,0.25,0.4705882352941176,1,6,0.125,0.35294117647058826,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,98,32,1236,1471,2018,2378373.0,336938.0
Albania,Malta,3,2,2018-11-19 19:00:00,10,6,9,3,0.39130434782608703,0.16666666666666666,3,0,0.3,0.0,3,0,0.5,0.8333333333333334,2,1,0.2,0.16666666666666666,1,0,1.0,0.0,0,1,0.0,1.0,0,0,0.0,0.0,58,184,1384,928,2018,2919422.0,421387.0
Poland,Ukraine,2,1,2018-11-19 19:00:00,15,11,20,18,0.43478260869565216,0.5806451612903226,5,5,0.3333333333333333,0.4545454545454545,5,5,0.5333333333333333,0.18181818181818185,2,4,0.13333333333333333,0.3636363636363637,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,18,35,1538,1468,2018,38522728.0,44170002.0
Italy,Germany,1,2,2018-11-19 18:30:00,22,22,32,39,0.5079365079365079,0.6290322580645161,9,11,0.4090909090909091,0.5,9,11,0.3181818181818182,0.3181818181818182,6,4,0.2727272727272727,0.18181818181818185,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,21,15,1532,1561,2018,59788104.0,80560850.0
Switzerland,Denmark,0,2,2018-11-19 18:00:00,16,21,23,23,0.5111111111111111,0.4693877551020408,5,6,0.3125,0.2857142857142857,5,6,0.375,0.3809523809523809,5,7,0.3125,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,8,9,1597,1580,2018,8523590.0,5732713.0
Czech Republic,Austria,1,0,2018-11-19 17:00:00,28,16,49,23,0.5697674418604651,0.5111111111111111,13,9,0.4642857142857143,0.5625,13,9,0.32142857142857145,0.4375,6,0,0.21428571428571427,0.0,2,0,1.0,0.0,0,2,0.0,1.0,0,0,0.0,0.0,44,23,1430,1502,2018,10563111.0,8613647.0
England,Belgium,3,1,2018-11-19 17:00:00,20,19,36,43,0.6792452830188679,0.7049180327868853,12,12,0.6,0.631578947368421,12,12,0.15,0.15789473684210525,5,4,0.25,0.21052631578947367,0,1,0.0,0.5,1,0,0.5,0.0,1,1,0.5,0.5,6,2,1615,1723,2018,55366557.96,11513025.0
Oman,Bahrain,2,1,2018-11-19 15:30:00,7,6,4,5,0.5714285714285714,0.625,1,1,0.14285714285714285,0.16666666666666666,1,1,0.0,0.16666666666666666,6,4,0.8571428571428571,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,84,113,1288,1180,2018,4774323.0,1442394.0
Norway,France,0,1,2018-11-19 15:00:00,10,28,15,57,0.5769230769230769,0.6551724137931034,5,17,0.5,0.6071428571428571,5,17,0.2,0.10714285714285714,3,8,0.3,0.2857142857142857,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,53,1,1406,1726,2018,5387342.0,65205671.0
Italy,Slovakia,2,4,2018-11-19 14:30:00,21,16,30,26,0.5263157894736842,0.5652173913043478,9,6,0.42857142857142855,0.375,9,6,0.2857142857142857,0.3125,6,5,0.2857142857142857,0.3125,0,1,0.0,1.0,1,0,1.0,0.0,0,0,0.0,0.0,21,26,1532,1493,2018,59788104.0,5434237.0
Bosnia and Herzegovina,Azerbaijan,2,0,2018-11-19 13:00:00,9,9,6,11,0.6666666666666666,0.5,3,2,0.3333333333333333,0.2222222222222222,3,2,0.2222222222222222,0.3333333333333333,4,4,0.4444444444444444,0.4444444444444444,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,39,105,1452,1207,2018,3782297.0,10070075.0
Netherlands,Ireland,0,1,2018-11-19 13:00:00,15,13,25,15,0.5434782608695652,0.4545454545454545,6,5,0.4,0.38461538461538464,6,5,0.26666666666666666,0.4615384615384616,5,2,0.3333333333333333,0.15384615384615385,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,17,29,1540,1484,2018,17084531.0,4790845.0
Armenia,Germany,0,7,2018-11-19 11:00:00,8,21,2,32,0.125,0.5818181818181818,0,10,0.0,0.4761904761904762,0,10,0.625,0.3333333333333333,3,4,0.375,0.19047619047619047,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,100,15,1227,1561,2018,3034998.0,80560850.0
Thailand,Iceland,1,1,2018-11-19 08:00:00,7,16,4,24,0.4,0.4705882352941176,3,3,0.42857142857142855,0.1875,3,3,0.5714285714285714,0.5,0,5,0.0,0.3125,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,122,32,1144,1471,2018,68415739.0,336938.0
Spain,Bosnia and Herzegovina,1,0,2018-11-18 20:45:00,11,8,26,6,0.7027027027027027,0.75,6,3,0.5454545454545454,0.375,6,3,0.0,0.125,5,4,0.4545454545454545,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,9,39,1580,1452,2018,46116884.0,3782297.0
Venezuela,Peru,0,3,2018-11-18 20:30:00,5,14,6,19,0.6,0.59375,2,6,0.4,0.42857142857142855,2,6,0.4,0.42857142857142855,1,2,0.2,0.14285714285714285,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,31,20,1476,1535,2018,32328063.0,32553697.0
Mali,Morocco,1,2,2018-11-18 18:00:00,1,8,1,11,0.5,0.6111111111111112,0,4,0.0,0.5,0,4,0.0,0.25,1,2,1.0,0.25,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,63,46,1360,1418,2018,19263634.0,35651885.0
