Team1,Team2,Score1,Score2,Date/Time
Slovakia,Italy,3,2,2010-06-24 16:00:00
Paraguay,New Zealand,0,0,2010-06-24 16:00:00
Denmark,Japan,1,3,2010-06-24 20:30:00
Cameroon,Netherlands,1,2,2010-06-24 20:30:00
Portugal,Brazil,0,0,2010-06-25 16:00:00
North Korea,Cote d'Ivoire,0,3,2010-06-25 16:00:00
Chile,Spain,1,2,2010-06-25 20:30:00
Switzerland,Honduras,0,0,2010-06-25 20:30:00
Uruguay,South Korea,2,1,2010-06-26 16:00:00
United States,Ghana,1,2,2010-06-26 20:30:00
Germany,England,4,1,2010-06-27 16:00:00
Argentina,Mexico,3,1,2010-06-27 20:30:00
Netherlands,Slovakia,2,1,2010-06-28 16:00:00
Brazil,Chile,3,0,2010-06-28 20:30:00
Paraguay,Japan,0,0,2010-06-29 16:00:00
Spain,Portugal,1,0,2010-06-29 20:30:00
Netherlands,Brazil,2,1,2010-07-02 16:00:00
Uruguay,Ghana,1,1,2010-07-02 20:30:00
Argentina,Germany,0,4,2010-07-03 16:00:00
Paraguay,Spain,0,1,2010-07-03 20:30:00
Uruguay,Netherlands,2,3,2010-07-06 20:30:00
Germany,Spain,0,1,2010-07-07 20:30:00
Uruguay,Germany,2,3,2010-07-10 20:30:00
Netherlands,Spain,0,1,2010-07-11 20:30:00
Germany,Costa Rica,4,2,2006-06-09 18:00:00
Poland,Ecuador,0,2,2006-06-09 21:00:00
England,Paraguay,1,0,2006-06-10 15:00:00
Trinidad and Tobago,Sweden,0,0,2006-06-10 18:00:00
Argentina,Cote d'Ivoire,2,1,2006-06-10 21:00:00
Serbia and Montenegro,Netherlands,0,1,2006-06-11 15:00:00
Mexico,Iran,3,1,2006-06-11 18:00:00
Angola,Portugal,0,1,2006-06-11 21:00:00
Australia,Japan,3,1,2006-06-12 15:00:00
United States,Czech Republic,0,3,2006-06-12 18:00:00
Italy,Ghana,2,0,2006-06-12 21:00:00
South Korea,Togo,2,1,2006-06-13 15:00:00
France,Switzerland,0,0,2006-06-13 18:00:00
Brazil,Croatia,1,0,2006-06-13 21:00:00
Spain,Ukraine,4,0,2006-06-14 15:00:00
Tunisia,Saudi Arabia,2,2,2006-06-14 18:00:00
Germany,Poland,1,0,2006-06-14 21:00:00
Ecuador,Costa Rica,3,0,2006-06-15 15:00:00
England,Trinidad and Tobago,2,0,2006-06-15 18:00:00
Sweden,Paraguay,1,0,2006-06-15 21:00:00
Argentina,Serbia and Montenegro,6,0,2006-06-16 15:00:00
Netherlands,Cote d'Ivoire,2,1,2006-06-16 18:00:00
Mexico,Angola,0,0,2006-06-16 21:00:00
Portugal,Iran,2,0,2006-06-17 15:00:00
Czech Republic,Ghana,0,2,2006-06-17 18:00:00
Italy,United States,1,1,2006-06-17 21:00:00
Japan,Croatia,0,0,2006-06-18 15:00:00
Brazil,Australia,2,0,2006-06-18 18:00:00
France,South Korea,1,1,2006-06-18 21:00:00
Togo,Switzerland,0,2,2006-06-19 15:00:00
Saudi Arabia,Ukraine,0,4,2006-06-19 18:00:00
Spain,Tunisia,3,1,2006-06-19 21:00:00
Ecuador,Germany,0,3,2006-06-20 16:00:00
Costa Rica,Poland,1,2,2006-06-20 16:00:00
Sweden,England,2,2,2006-06-20 21:00:00
Paraguay,Trinidad and Tobago,2,0,2006-06-20 21:00:00
Iran,Angola,1,1,2006-06-21 16:00:00
Portugal,Mexico,2,1,2006-06-21 16:00:00
Netherlands,Argentina,0,0,2006-06-21 21:00:00
Cote d'Ivoire,Serbia and Montenegro,3,2,2006-06-21 21:00:00
Czech Republic,Italy,0,2,2006-06-22 16:00:00
Ghana,United States,2,1,2006-06-22 16:00:00
Japan,Brazil,1,4,2006-06-22 21:00:00
Croatia,Australia,2,2,2006-06-22 21:00:00
Ukraine,Tunisia,1,0,2006-06-23 16:00:00
Saudi Arabia,Spain,0,1,2006-06-23 16:00:00
Togo,France,0,2,2006-06-23 21:00:00
Switzerland,South Korea,2,0,2006-06-23 21:00:00
Germany,Sweden,2,0,2006-06-24 17:00:00
Argentina,Mexico,2,1,2006-06-24 21:00:00
England,Ecuador,1,0,2006-06-25 17:00:00
Portugal,Netherlands,1,0,2006-06-25 21:00:00
Italy,Australia,1,0,2006-06-26 17:00:00
Switzerland,Ukraine,0,0,2006-06-26 21:00:00
Brazil,Ghana,3,0,2006-06-27 17:00:00
Spain,France,1,3,2006-06-27 21:00:00
Germany,Argentina,1,1,2006-06-30 17:00:00
Italy,Ukraine,3,0,2006-06-30 21:00:00
England,Portugal,0,0,2006-07-01 17:00:00
Brazil,France,0,1,2006-07-01 21:00:00
Germany,Italy,0,2,2006-07-04 21:00:00
Portugal,France,0,1,2006-07-05 21:00:00
Germany,Portugal,3,1,2006-07-08 21:00:00
Italy,France,1,1,2006-07-09 20:00:00
France,Senegal,0,1,2002-05-31 20:30:00
Uruguay,Denmark,1,2,2002-06-01 18:00:00
Ireland,Cameroon,1,1,2002-06-01 15:30:00
Germany,Saudi Arabia,8,0,2002-06-01 20:30:00
Argentina,Nigeria,1,0,2002-06-02 14:30:00
Paraguay,South Africa,2,2,2002-06-02 16:30:00
England,Sweden,1,1,2002-06-02 18:30:00
Spain,Slovenia,3,1,2002-06-02 20:30:00
Brazil,Turkey,2,1,2002-06-03 18:00:00
Italy,Ecuador,2,0,2002-06-03 20:30:00
Croatia,Mexico,0,1,2002-06-03 15:30:00
China,Costa Rica,0,2,2002-06-04 15:30:00
Japan,Belgium,2,2,2002-06-04 18:00:00
South Korea,Poland,2,0,2002-06-04 20:30:00
Russia,Tunisia,2,0,2002-06-05 15:30:00
United States,Portugal,3,2,2002-06-05 18:00:00
Germany,Ireland,1,1,2002-06-05 20:30:00
