Team1,Team2,Score1,Score2,Date/Time
Philippines,Nepal,4,0,2011-10-11 13:00:00
Germany,Ukraine,3,0,2011-10-11 11:00:00
Qatar,Uzbekistan,3,1,2011-10-10 17:15:00
Belarus,Russia,2,3,2011-10-10 14:30:00
China,Thailand,2,7,2011-10-10 12:40:00
Laos,Myanmar,0,4,2011-10-10 10:30:00
France,Portugal,1,2,2011-10-09 19:00:00
Switzerland,Finland,2,1,2011-10-09 15:00:00
Ukraine,England,1,3,2011-10-09 15:00:00
Germany,Switzerland,4,1,2011-10-09 13:10:00
United States,Honduras,1,0,2011-10-09 00:00:00
Morocco,Gambia,3,0,2011-10-08 21:00:00
Cambodia,Laos,2,0,2011-10-08 11:10:00
Costa Rica,Brazil,0,1,2011-10-08 04:00:00
Gabon,Equatorial Guinea,2,0,2011-10-07 20:30:00
Ukraine,Bulgaria,3,0,2011-10-07 19:45:00
France,Ukraine,2,1,2011-10-07 19:00:00
Portugal,England,0,1,2011-10-07 15:00:00
Singapore,Philippines,2,0,2011-10-07 13:30:00
South Korea,Poland,2,2,2011-10-07 13:00:00
Japan,Vietnam,1,0,2011-10-07 12:45:00
Indonesia,Saudi Arabia,0,0,2011-10-07 12:30:00
Laos,Maldives,1,3,2011-10-07 11:25:00
Australia,Malaysia,5,0,2011-10-07 11:00:00
South Korea,Uzbekistan,5,1,2011-10-07 10:30:00
Indonesia,Bangladesh,2,2,2011-10-07 09:30:00
Trinidad and Tobago,Bolivia,4,2,2011-10-07 00:00:00
Netherlands,Belgium,3,0,2011-10-06 18:00:00
Thailand,Jordan,0,0,2011-10-06 14:00:00
China,United Arab Emirates,2,1,2011-10-06 13:35:00
Czech Republic,Croatia,3,2,2011-10-06 11:00:00
Slovenia,Czech Republic,3,1,2011-10-06 11:00:00
Germany,Italy,3,2,2011-10-05 19:30:00
France,England,2,2,2011-10-05 19:00:00
Kuwait,Syria,1,3,2011-10-05 19:00:00
Estonia,Wales,1,2,2011-10-05 18:00:00
Iran,Palestine,7,0,2011-10-05 18:00:00
Poland,Switzerland,0,1,2011-10-05 15:00:00
Portugal,Ukraine,1,1,2011-10-05 15:00:00
Malawi,Zambia,2,2,2011-10-04 17:30:00
Czech Republic,Croatia,2,2,2011-10-04 16:00:00
Slovenia,Czech Republic,1,2,2011-10-04 16:00:00
Serbia,Slovakia,5,0,2011-10-04 15:30:00
Ethiopia,Malawi,0,0,2011-10-04 14:00:00
Wales,Scotland,0,0,2011-09-30 20:35:00
Kuwait,Oman,1,3,2011-09-30 19:00:00
Hong Kong,Philippines,3,3,2011-09-30 10:30:00
Canada,Costa Rica,2,5,2011-09-30 00:00:00
Czech Republic,Croatia,0,1,2011-09-29 16:00:00
Serbia,Montenegro,1,1,2011-09-29 16:00:00
Cyprus,Greece,2,4,2011-09-29 15:00:00
Ukraine,France,2,2,2011-09-29 14:30:00
Estonia,Ireland,0,0,2011-09-29 10:00:00
Brazil,Argentina,2,0,2011-09-29 02:50:00
Greece,Lithuania,3,2,2011-09-28 16:30:00
Czech Republic,Croatia,3,3,2011-09-27 16:00:00
Serbia,Montenegro,3,1,2011-09-27 16:00:00
Slovakia,Finland,1,0,2011-09-27 16:00:00
Ukraine,France,0,0,2011-09-27 16:00:00
Cyprus,Greece,0,2,2011-09-27 15:00:00
Latvia,Ireland,0,3,2011-09-27 15:00:00
Estonia,Latvia,1,1,2011-09-26 15:00:00
Venezuela,Jamaica,1,0,2011-09-22 23:00:00
France,Wales,4,2,2011-09-22 19:00:00
Malawi,Uganda,4,1,2011-09-22 19:00:00
Iran,Syria,2,1,2011-09-22 14:50:00
Slovenia,Poland,2,0,2011-09-22 10:55:00
Finland,Northern Ireland,0,4,2011-09-21 15:30:00
Haiti,Panama,0,2,2011-09-21 03:00:00
France,Wales,4,0,2011-09-20 19:00:00
Iran,Syria,2,1,2011-09-20 16:50:00
Slovenia,Poland,0,1,2011-09-20 16:00:00
Germany,Italy,2,0,2011-09-19 12:00:00
Germany,Scotland,2,0,2011-09-19 11:00:00
Netherlands,Israel,3,1,2011-09-19 10:00:00
Romania,Moldova,3,0,2011-09-19 10:00:00
Romania,Moldova,1,0,2011-09-17 15:00:00
Germany,Israel,5,0,2011-09-16 18:00:00
Qatar,Iraq,1,2,2011-09-16 18:00:00
Qatar,Iran,1,1,2011-09-16 18:00:00
Italy,Netherlands,0,1,2011-09-16 17:10:00
Venezuela,Haiti,1,1,2011-09-15 23:00:00
Belgium,Montenegro,0,0,2011-09-15 18:00:00
Romania,Switzerland,0,3,2011-09-15 16:00:00
Czech Republic,Slovakia,3,4,2011-09-15 14:00:00
Ireland,Serbia,1,1,2011-09-15 13:00:00
Malaysia,Oman,0,1,2011-09-15 11:00:00
Slovakia,Sweden,2,0,2011-09-15 11:00:00
Moldova,Belarus,1,1,2011-09-15 10:00:00
Argentina,Brazil,0,0,2011-09-15 02:50:00
Germany,Netherlands,2,0,2011-09-14 17:00:00
Hungary,Serbia,3,1,2011-09-14 17:00:00
Israel,Italy,1,0,2011-09-14 17:00:00
Ireland,Serbia,0,2,2011-09-13 20:30:00
Slovakia,Sweden,1,2,2011-09-13 19:00:00
Syria,Yemen,2,2,2011-09-13 18:30:00
Belgium,Montenegro,2,0,2011-09-13 18:00:00
Slovakia,Czech Republic,3,3,2011-09-13 16:00:00
Moldova,Belarus,3,2,2011-09-13 15:00:00
Romania,Switzerland,0,1,2011-09-13 15:00:00
Jordan,Oman,1,1,2011-09-12 16:00:00
Uzbekistan,Oman,1,0,2011-09-11 15:00:00
Switzerland,Italy,3,2,2011-09-08 19:00:00
Brunei,Vietnam,0,7,2011-09-08 13:40:00
Laos,Indonesia,3,3,2011-09-08 11:00:00
Italy,France,0,1,2011-09-08 10:30:00
Chile,Mexico,2,2,2011-09-08 00:50:00
Austria,Bosnia and Herzegovina,1,0,2011-09-07 19:00:00
Belgium,Turkey,4,1,2011-09-07 19:00:00
Equatorial Guinea,Central African Republic,3,0,2011-09-07 18:00:00
Estonia,Luxembourg,1,5,2011-09-07 17:00:00
Poland,Italy,1,2,2011-09-07 16:30:00
Romania,Israel,1,3,2011-09-07 10:00:00
Honduras,Paraguay,0,3,2011-09-07 03:30:00
Colombia,Jamaica,2,0,2011-09-07 02:00:00
Venezuela,Guinea,2,1,2011-09-07 02:00:00
Ecuador,Costa Rica,4,0,2011-09-06 23:00:00
Morocco,Gabon,2,0,2011-09-06 22:35:00
Belgium,United States,1,0,2011-09-06 20:45:00
Poland,Germany,2,2,2011-09-06 20:45:00
Czech Republic,Ukraine,4,0,2011-09-06 19:00:00
Switzerland,Italy,6,2,2011-09-06 19:00:00
Italy,France,1,3,2011-09-06 18:00:00
Gabon,Niger,1,0,2011-09-06 16:30:00
Argentina,Nigeria,3,1,2011-09-06 15:00:00
Egypt,Brazil,0,0,2011-09-06 12:00:00
Bolivia,Peru,0,0,2011-09-06 02:00:00
Portugal,France,1,0,2011-09-05 22:15:00
Brazil,Ghana,1,0,2011-09-05 20:45:00
England,Israel,4,1,2011-09-05 20:00:00
Belgium,Turkey,1,1,2011-09-05 19:00:00
Denmark,Greece,0,2,2011-09-05 18:00:00
Denmark,Greece,0,2,2011-09-05 18:00:00
Austria,Greece,3,2,2011-09-05 17:00:00
Estonia,Iceland,0,1,2011-09-05 17:00:00
Slovenia,Ireland,1,0,2011-09-05 17:00:00
Serbia,Ukraine,0,0,2011-09-05 16:30:00
Hungary,Montenegro,2,2,2011-09-05 15:30:00
Romania,Israel,1,0,2011-09-05 15:00:00
Northern Ireland,Switzerland,0,2,2011-09-05 14:00:00
Finland,Sweden,0,0,2011-09-05 11:00:00
Mexico,Chile,1,0,2011-09-04 21:00:00
Germany,Netherlands,2,2,2011-09-04 18:00:00
Switzerland,Germany,1,2,2011-09-04 15:00:00
Honduras,Colombia,0,2,2011-09-04 02:00:00
Burkina Faso,Equatorial Guinea,1,0,2011-09-03 18:00:00
Austria,Scotland,3,0,2011-09-03 17:00:00
Serbia,Montenegro,3,1,2011-09-03 17:00:00
Slovenia,Ireland,2,0,2011-09-03 17:00:00
Ukraine,Hungary,0,2,2011-09-03 17:00:00
Estonia,Iceland,1,4,2011-09-03 16:00:00
Croatia,Slovenia,2,0,2011-09-03 15:00:00
Sweden,Greece,2,2,2011-09-03 15:00:00
Sweden,Greece,2,2,2011-09-03 15:00:00
Finland,Sweden,0,3,2011-09-03 14:00:00
United States,Costa Rica,0,1,2011-09-03 05:15:00
Panama,Paraguay,0,2,2011-09-03 04:00:00
Peru,Bolivia,2,2,2011-09-03 03:15:00
Ecuador,Jamaica,5,2,2011-09-02 23:00:00
Spain,Chile,3,2,2011-09-02 20:45:00
Poland,Mexico,1,1,2011-09-02 20:30:00
Ukraine,Uruguay,2,3,2011-09-02 20:00:00
Montenegro,Ukraine,3,2,2011-09-02 17:00:00
Serbia,Hungary,2,0,2011-09-02 17:00:00
Poland,Denmark,2,0,2011-09-02 16:00:00
Venezuela,Argentina,0,1,2011-09-02 15:30:00
Cyprus,Belgium,0,4,2011-09-02 11:00:00
Norway,Belarus,2,0,2011-09-02 11:00:00
Ukraine,Hungary,5,1,2011-09-02 11:00:00
Austria,Croatia,2,3,2011-09-01 19:00:00
Norway,Czech Republic,2,0,2011-09-01 19:00:00
Netherlands,England,0,0,2011-09-01 18:30:00
Belgium,Germany,3,5,2011-09-01 18:00:00
Denmark,Sweden,1,1,2011-09-01 18:00:00
Scotland,Slovenia,2,2,2011-09-01 17:00:00
Sweden,Slovakia,2,3,2011-09-01 14:00:00
Estonia,Switzerland,0,2,2011-09-01 09:45:00
Germany,Poland,4,2,2011-08-31 18:00:00
Switzerland,Italy,3,2,2011-08-31 18:00:00
Hungary,Denmark,1,1,2011-08-31 17:30:00
Poland,Ukraine,1,0,2011-08-31 17:30:00
Poland,Belarus,3,1,2011-08-31 17:00:00
Belarus,Belgium,1,2,2011-08-31 15:00:00
Cyprus,Norway,2,1,2011-08-31 15:00:00
Austria,Slovenia,3,0,2011-08-30 19:00:00
Norway,Czech Republic,1,1,2011-08-30 19:00:00
Sweden,Slovakia,1,2,2011-08-30 18:30:00
Belgium,Hungary,0,3,2011-08-30 17:30:00
Ukraine,Norway,4,3,2011-08-30 17:30:00
Croatia,Scotland,2,1,2011-08-30 17:00:00
Estonia,Switzerland,0,5,2011-08-30 17:00:00
Denmark,Belarus,5,0,2011-08-30 15:00:00
Poland,Cyprus,3,1,2011-08-30 15:00:00
Antigua and Barbuda,Saint Vincent and the Grenadines,2,2,2011-08-28 22:00:00
England,Portugal,1,0,2011-08-28 15:00:00
Italy,Czech Republic,2,1,2011-08-28 15:00:00
Jordan,Indonesia,1,0,2011-08-27 21:30:00
Oman,Kuwait,1,0,2011-08-27 20:00:00
Lithuania,Georgia,1,1,2011-08-27 16:15:00
Ukraine,Latvia,0,0,2011-08-27 14:00:00
Angola,Congo,1,2,2011-08-27 12:00:00
Czech Republic,Hungary,2,2,2011-08-27 11:00:00
France,Slovakia,3,1,2011-08-27 11:00:00
Moldova,Belarus,3,1,2011-08-27 10:30:00
Bahrain,Sudan,1,0,2011-08-26 21:05:00
England,Czech Republic,0,1,2011-08-26 20:00:00
Kazakhstan,Moldova,2,2,2011-08-26 17:00:00
Lithuania,Ukraine,2,1,2011-08-26 17:00:00
Portugal,Italy,1,0,2011-08-26 16:00:00
Vietnam,Cambodia,3,0,2011-08-26 13:00:00
Antigua and Barbuda,Saint Vincent and the Grenadines,1,0,2011-08-26 12:00:00
Latvia,Azerbaijan,1,1,2011-08-26 11:00:00
Italy,Russia,2,1,2011-08-25 20:30:00
United Arab Emirates,Qatar,3,1,2011-08-25 20:30:00
Iran,Syria,3,1,2011-08-25 19:50:00
Switzerland,Northern Ireland,0,1,2011-08-25 19:00:00
Bulgaria,Wales,1,2,2011-08-25 17:00:00
France,Ukraine,1,2,2011-08-25 17:00:00
Slovakia,Turkey,1,2,2011-08-25 17:00:00
Poland,Wales,4,1,2011-08-25 16:00:00
Guyana,India,2,1,2011-08-25 01:30:00
England,Italy,1,0,2011-08-24 20:00:00
Czech Republic,Ukraine,2,1,2011-08-24 17:00:00
Hungary,Slovakia,1,3,2011-08-24 17:00:00
Lithuania,Kazakhstan,2,1,2011-08-24 17:00:00
Moldova,Ukraine,0,2,2011-08-24 17:00:00
Czech Republic,Portugal,1,4,2011-08-24 16:00:00
Thailand,Singapore,0,0,2011-08-24 14:00:00
Germany,Turkey,4,0,2011-08-24 12:00:00
Belarus,Latvia,0,2,2011-08-24 11:00:00
Georgia,Azerbaijan,2,1,2011-08-24 11:00:00
Iran,Syria,5,3,2011-08-23 19:45:00
Switzerland,Northern Ireland,3,1,2011-08-23 19:00:00
Sweden,Finland,3,2,2011-08-23 18:30:00
Bulgaria,Wales,2,0,2011-08-23 17:00:00
Czech Republic,France,1,2,2011-08-23 17:00:00
Lithuania,Moldova,1,0,2011-08-23 17:00:00
Turkey,Hungary,0,0,2011-08-23 17:00:00
Poland,Wales,2,0,2011-08-23 16:00:00
Azerbaijan,Belarus,3,1,2011-08-23 14:00:00
Ukraine,Kazakhstan,2,1,2011-08-23 13:10:00
Estonia,Germany,0,3,2011-08-23 12:00:00
Latvia,Georgia,2,3,2011-08-23 10:30:00
Jordan,Tunisia,3,3,2011-08-22 21:30:00
Cyprus,Cyprus,3,2,2011-08-22 17:30:00
Indonesia,Palestine,4,1,2011-08-22 15:30:00
Trinidad and Tobago,India,3,0,2011-08-21 23:00:00
Australia,Mexico,0,1,2011-08-21 10:20:00
Japan,Australia,1,0,2011-08-20 11:10:00
Qatar,Iraq,0,1,2011-08-19 20:30:00
Wales,Finland,2,6,2011-08-19 20:00:00
Japan,Mexico,4,1,2011-08-18 11:20:00
Slovenia,Slovakia,1,3,2011-08-18 11:00:00
Fiji,Samoa,5,1,2011-08-18 06:00:00
Barbados,India,0,0,2011-08-18 01:00:00
Lebanon,Syria,2,3,2011-08-17 21:00:00
Fiji,Samoa,3,0,2011-08-17 06:00:00
Slovenia,Slovakia,1,3,2011-08-16 18:00:00
Seychelles,Mauritius,2,1,2011-08-13 15:30:00
Reunion,Mayotte,1,0,2011-08-13 13:00:00
United Arab Emirates,Bahrain,1,1,2011-08-11 20:30:00
Bahrain,Kuwait,1,0,2011-08-11 20:15:00
Belgium,Denmark,0,0,2011-08-11 19:00:00
Norway,Poland,2,0,2011-08-11 19:00:00
Serbia,Ireland,0,1,2011-08-11 17:30:00
Mayotte,Mauritius,0,0,2011-08-11 15:30:00
Seychelles,Reunion,2,1,2011-08-11 13:00:00
Finland,Sweden,3,2,2011-08-11 11:00:00
Costa Rica,Ecuador,0,2,2011-08-11 04:00:00
United States,Mexico,1,1,2011-08-11 03:00:00
Honduras,Venezuela,2,0,2011-08-11 02:40:00
Bolivia,Panama,1,3,2011-08-11 02:30:00
Liberia,Angola,0,0,2011-08-10 22:15:00
Portugal,Luxembourg,5,0,2011-08-10 22:00:00
Tunisia,Mali,4,2,2011-08-10 22:00:00
Bosnia and Herzegovina,Greece,0,0,2011-08-10 21:00:00
France,Chile,1,1,2011-08-10 21:00:00
Kuwait,North Korea,0,0,2011-08-10 21:00:00
Germany,Brazil,3,2,2011-08-10 20:45:00
Ireland,Croatia,0,0,2011-08-10 20:45:00
Italy,Spain,2,1,2011-08-10 20:45:00
Scotland,Denmark,2,1,2011-08-10 20:45:00
Slovenia,Belgium,0,0,2011-08-10 20:45:00
Wales,Australia,1,2,2011-08-10 20:45:00
Austria,Slovakia,1,2,2011-08-10 20:30:00
Malta,Central African Republic,2,1,2011-08-10 20:30:00
Poland,Georgia,1,0,2011-08-10 20:30:00
San Marino,Romania,0,1,2011-08-10 20:30:00
Turkey,Estonia,3,0,2011-08-10 20:30:00
Liechtenstein,Switzerland,1,2,2011-08-10 20:15:00
South Africa,Burkina Faso,3,0,2011-08-10 20:15:00
Albania,Montenegro,3,2,2011-08-10 20:00:00
Equatorial Guinea,Guinea-Bissau,1,4,2011-08-10 20:00:00
Norway,Czech Republic,3,0,2011-08-10 20:00:00
Oman,Bahrain,1,1,2011-08-10 20:00:00
Ukraine,Sweden,0,1,2011-08-10 20:00:00
Hungary,Iceland,4,0,2011-08-10 19:45:00
Cote d'Ivoire,Israel,4,3,2011-08-10 19:30:00
Belarus,Bulgaria,1,0,2011-08-10 19:00:00
Botswana,Kenya,1,0,2011-08-10 19:00:00
Cyprus,Moldova,3,2,2011-08-10 19:00:00
Gambia,Congo,3,0,2011-08-10 19:00:00
Senegal,Morocco,0,2,2011-08-10 19:00:00
Wales,Hungary,1,2,2011-08-10 19:00:00
Zimbabwe,Zambia,2,0,2011-08-10 19:00:00
Latvia,Finland,0,2,2011-08-10 18:35:00
Lithuania,Armenia,3,0,2011-08-10 18:00:00
Sweden,Netherlands,3,0,2011-08-10 18:00:00
Gabon,Guinea,1,1,2011-08-10 17:40:00
Montenegro,Bosnia and Herzegovina,3,1,2011-08-10 17:30:00
Poland,Denmark,1,0,2011-08-10 17:30:00
Israel,Serbia,0,1,2011-08-10 17:00:00
Italy,Switzerland,1,1,2011-08-10 17:00:00
Moldova,Georgia,2,2,2011-08-10 17:00:00
Niger,Togo,3,3,2011-08-10 17:00:00
Russia,Serbia,1,0,2011-08-10 17:00:00
Scotland,Norway,3,0,2011-08-10 17:00:00
Ukraine,Uzbekistan,0,0,2011-08-10 17:00:00
Kazakhstan,Syria,1,1,2011-08-10 16:00:00
China,Jamaica,1,0,2011-08-10 13:35:00
Japan,South Korea,3,0,2011-08-10 12:30:00
Slovenia,Hungary,3,2,2011-08-10 10:30:00
Japan,Egypt,2,1,2011-08-10 09:00:00
Lebanon,Jordan,1,0,2011-08-09 21:00:00
United Arab Emirates,Bahrain,0,2,2011-08-09 20:30:00
United Arab Emirates,Bahrain,0,2,2011-08-09 20:30:00
Belgium,Denmark,1,1,2011-08-09 19:00:00
Belgium,Turkey,2,3,2011-08-09 19:00:00
Bulgaria,Romania,1,1,2011-08-09 19:00:00
Ireland,Austria,2,1,2011-08-09 19:00:00
Portugal,Slovakia,1,1,2011-08-09 19:00:00
Ukraine,Israel,3,0,2011-08-09 19:00:00
Uzbekistan,Serbia,2,0,2011-08-09 19:00:00
Finland,Sweden,1,2,2011-08-09 18:00:00
Serbia,Ireland,3,0,2011-08-09 17:30:00
Estonia,Azerbaijan,1,3,2011-08-09 16:00:00
Seychelles,Maldives,5,1,2011-08-09 16:00:00
Mauritius,Comoros,2,0,2011-08-09 14:30:00
Qatar,United Arab Emirates,0,2,2011-08-08 20:30:00
El Salvador,Venezuela,2,1,2011-08-07 23:15:00
Japan,Australia,2,0,2011-08-07 09:30:00
Hungary,Serbia,3,2,2011-08-06 17:30:00
Comoros,Maldives,2,2,2011-08-06 17:00:00
Lithuania,Finland,4,1,2011-08-06 16:00:00
Israel,Croatia,1,0,2011-08-06 15:45:00
Seychelles,Mauritius,2,1,2011-08-06 14:30:00
Belgium,Slovakia,2,2,2011-08-06 11:15:00
Malta,Romania,1,2,2011-08-06 11:00:00
Australia,South Korea,0,3,2011-08-06 09:00:00
Madagascar,Mayotte,1,1,2011-08-05 13:00:00
Belgium,Romania,2,1,2011-08-04 17:30:00
Hungary,Croatia,1,0,2011-08-04 17:30:00
Israel,Serbia,1,1,2011-08-04 17:30:00
Malta,Slovakia,0,5,2011-08-04 17:30:00
Lithuania,Finland,0,0,2011-08-04 16:00:00
Maldives,Mauritius,1,1,2011-08-04 14:45:00
Seychelles,Comoros,0,0,2011-08-04 13:00:00
Latvia,Moldova,1,2,2011-08-04 11:00:00
Wales,Ireland,0,2,2011-08-03 19:00:00
Croatia,Slovakia,4,1,2011-08-03 17:30:00
Hungary,Malta,2,1,2011-08-03 17:30:00
Israel,Belgium,1,0,2011-08-03 17:30:00
Romania,Serbia,0,0,2011-08-03 17:30:00
Latvia,Moldova,2,3,2011-08-02 17:00:00
Vanuatu,Solomon Islands,2,0,2011-07-30 06:00:00
Singapore,Myanmar,1,0,2011-07-27 13:30:00
Vanuatu,Solomon Islands,0,0,2011-07-27 06:00:00
Mexico,Georgia,1,2,2011-07-25 21:00:00
Israel,United States,0,2,2011-07-25 19:00:00
Belarus,Azerbaijan,1,0,2011-07-25 15:00:00
Peru,Spain,0,0,2011-07-25 03:55:00
Algeria,Syria,2,3,2011-07-24 21:15:00
Liberia,Gambia,3,2,2011-07-24 18:00:00
Sweden,Wales,7,2,2011-07-23 15:30:00
Norway,Iceland,2,1,2011-07-23 13:00:00
Panama,Portugal,2,0,2011-07-23 04:30:00
Mexico,Nigeria,4,1,2011-07-23 02:10:00
Sweden,Iceland,0,2,2011-07-21 19:00:00
Algeria,Iraq,1,0,2011-07-21 17:15:00
Morocco,Sudan,1,1,2011-07-21 17:15:00
Wales,Norway,2,1,2011-07-21 16:30:00
Panama,Mexico,1,1,2011-07-21 04:15:00
Portugal,Nigeria,2,0,2011-07-21 02:00:00
Syria,Kuwait,1,1,2011-07-20 17:20:00
Sweden,Norway,1,0,2011-07-19 19:00:00
Iceland,Wales,5,1,2011-07-19 16:30:00
Latvia,Belarus,1,5,2011-07-19 11:00:00
Panama,Nigeria,0,0,2011-07-19 04:15:00
Mexico,Portugal,2,2,2011-07-19 02:00:00
Iraq,Morocco,0,2,2011-07-18 17:15:00
Laos,Myanmar,1,0,2011-07-18 14:00:00
Thailand,Singapore,2,0,2011-07-18 12:00:00
Saudi Arabia,Kuwait,1,0,2011-07-17 20:00:00
Qatar,India,1,2,2011-07-17 18:15:00
United Arab Emirates,Lebanon,6,2,2011-07-17 18:00:00
Iran,Madagascar,1,0,2011-07-17 17:00:00
Saudi Arabia,Lebanon,6,2,2011-07-17 14:00:00
Kuwait,Saudi Arabia,1,0,2011-07-16 20:00:00
Jordan,Iraq,2,1,2011-07-16 17:00:00
Oman,Syria,1,1,2011-07-15 17:30:00
Thailand,Myanmar,1,1,2011-07-15 13:00:00
Vanuatu,Fiji,2,1,2011-07-15 09:00:00
Fiji,Vanuatu,1,2,2011-07-15 06:00:00
Thailand,Myanmar,1,0,2011-07-14 12:55:00
Uruguay,Guatemala,2,0,2011-07-13 20:15:00
Jordan,Saudi Arabia,1,1,2011-07-13 20:00:00
Portugal,Nigeria,0,0,2011-07-13 19:00:00
Kuwait,Iraq,2,0,2011-07-13 17:00:00
Vanuatu,Fiji,0,2,2011-07-13 09:00:00
Fiji,Vanuatu,2,0,2011-07-13 06:00:00
Uruguay,Guatemala,7,0,2011-07-11 16:00:00
Laos,Indonesia,2,0,2011-07-11 14:00:00
Maldives,India,1,1,2011-07-10 18:00:00
Philippines,Singapore,0,5,2011-07-10 14:00:00
Cambodia,Myanmar,1,1,2011-07-10 12:00:00
Lebanon,Oman,0,1,2011-07-09 16:00:00
Indonesia,Malaysia,1,1,2011-07-09 12:00:00
Solomon Islands,Vanuatu,0,0,2011-07-09 06:00:00
Algeria,Palestine,2,0,2011-07-08 18:30:00
Morocco,Sudan,1,0,2011-07-08 18:30:00
Jordan,Yemen,4,0,2011-07-08 17:00:00
Singapore,Vietnam,5,0,2011-07-08 14:00:00
Philippines,Cambodia,1,2,2011-07-08 12:00:00
Solomon Islands,Vanuatu,2,1,2011-07-08 06:00:00
Portugal,Egypt,2,2,2011-07-07 19:00:00
Malaysia,Thailand,2,2,2011-07-07 14:00:00
Kuwait,Oman,1,1,2011-07-06 16:00:00
Malawi,Namibia,0,1,2011-07-06 12:00:00
Portugal,Egypt,0,0,2011-07-05 19:00:00
Jordan,Syria,1,3,2011-07-05 17:00:00
Lebanon,Kuwait,0,6,2011-07-02 16:00:00
Estonia,Finland,0,0,2011-06-30 17:00:00
Lithuania,Latvia,1,2,2011-06-30 17:00:00
Estonia,Finland,0,5,2011-06-30 13:00:00
Lithuania,Latvia,2,0,2011-06-30 13:00:00
Iraq,Syria,1,2,2011-06-29 18:00:00
Peru,Senegal,1,0,2011-06-29 03:00:00
Estonia,Lithuania,1,0,2011-06-28 17:00:00
Latvia,Finland,1,2,2011-06-28 17:00:00
Estonia,Lithuania,0,0,2011-06-28 13:00:00
Latvia,Finland,1,5,2011-06-28 13:00:00
Finland,Lithuania,2,0,2011-06-27 17:00:00
Latvia,Estonia,1,2,2011-06-27 17:00:00
Finland,Lithuania,4,0,2011-06-27 13:00:00
Latvia,Estonia,1,1,2011-06-27 13:00:00
Colombia,Senegal,2,0,2011-06-26 00:00:00
Ecuador,Mexico,0,1,2011-06-25 23:00:00
Ecuador,Panama,4,0,2011-06-25 20:45:00
Bulgaria,Armenia,1,0,2011-06-25 17:15:00
Kenya,Sudan,1,2,2011-06-25 17:00:00
Romania,Northern Ireland,4,1,2011-06-25 15:30:00
Uzbekistan,Azerbaijan,4,2,2011-06-24 15:00:00
Paraguay,Chile,0,0,2011-06-24 01:00:00
Uruguay,Estonia,3,0,2011-06-24 00:30:00
Northern Ireland,Armenia,1,4,2011-06-23 17:30:00
Colombia,Mexico,0,0,2011-06-23 04:00:00
Bulgaria,Northern Ireland,2,1,2011-06-21 17:20:00
Romania,Armenia,4,0,2011-06-21 15:30:00
Uzbekistan,Azerbaijan,3,1,2011-06-21 15:00:00
Argentina,Albania,4,0,2011-06-20 23:10:00
Chile,Estonia,4,0,2011-06-20 01:00:00
Anguilla,United States Virgin Islands,0,0,2011-06-20 00:00:00
Ukraine,Russia,3,0,2011-06-19 15:00:00
Belarus,Italy,0,2,2011-06-19 11:00:00
Czech Republic,Poland,1,2,2011-06-19 11:00:00
Serbia,Turkey,1,0,2011-06-19 10:00:00
Czech Republic,Serbia,1,1,2011-06-18 15:00:00
Russia,Italy,1,0,2011-06-18 15:00:00
Turkey,Poland,2,1,2011-06-18 15:00:00
Ukraine,Belarus,6,0,2011-06-18 15:00:00
Malaysia,Myanmar,2,0,2011-06-18 14:45:00
Turkey,Spain,1,0,2011-06-16 16:30:00
Belarus,Czech Republic,0,2,2011-06-16 15:00:00
Italy,Turkey,0,2,2011-06-16 15:00:00
Poland,Russia,2,1,2011-06-16 15:00:00
Serbia,Ukraine,3,4,2011-06-16 15:00:00
Azerbaijan,Georgia,2,1,2011-06-16 14:00:00
Kyrgyzstan,Tajikistan,0,1,2011-06-16 07:10:00
Uzbekistan,Kazakhstan,0,5,2011-06-16 07:00:00
Italy,Poland,0,0,2011-06-15 15:25:00
Belarus,Serbia,0,3,2011-06-15 15:00:00
Russia,Turkey,3,2,2011-06-15 15:00:00
Ukraine,Czech Republic,4,0,2011-06-15 15:00:00
Lithuania,Saudi Arabia,1,1,2011-06-14 17:00:00
Spain,Georgia,1,1,2011-06-14 16:30:00
Uzbekistan,Syria,2,1,2011-06-14 16:00:00
Azerbaijan,Turkey,2,4,2011-06-14 14:00:00
Lithuania,Saudi Arabia,1,1,2011-06-14 13:00:00
Kazakhstan,Tajikistan,2,1,2011-06-14 07:00:00
Uzbekistan,Kyrgyzstan,0,7,2011-06-14 07:00:00
Qatar,Malaysia,4,0,2011-06-13 18:15:00
Singapore,Kuwait,1,2,2011-06-13 13:30:00
Jordan,Turkmenistan,3,2,2011-06-12 16:30:00
Kyrgyzstan,Turkey,0,3,2011-06-12 16:00:00
Azerbaijan,Uzbekistan,4,2,2011-06-12 13:30:00
Mexico,Venezuela,0,3,2011-06-12 05:00:00
Paraguay,Romania,2,0,2011-06-12 00:00:00
Morocco,Senegal,2,2,2011-06-11 17:40:00
Turkey,Uzbekistan,6,0,2011-06-11 16:30:00
Azerbaijan,Kyrgyzstan,3,0,2011-06-11 14:00:00
Georgia,Kazakhstan,5,1,2011-06-11 07:00:00
Spain,Tajikistan,6,0,2011-06-11 07:00:00
Iran,Syria,2,1,2011-06-10 17:15:00
Poland,France,0,1,2011-06-09 21:00:00
Uruguay,Netherlands,2,1,2011-06-08 20:30:00
Austria,Nigeria,1,1,2011-06-08 18:30:00
