Team1,Team2,Rounds,Stadium,City,Time,Day,Month,Year,Score1,Score2,Remarks
Croatia,England,Semi Finals,Luzhniki Stadium,Moscow,21:00,11,7,2018,2,1,Croatia win after extra time CRO win AET
Belgium,England,Play-off for third place,Saint Petersburg Stadium,St. Petersburg,17:00,14,7,2018,2,0,
France,Croatia,Finals,Luzhniki Stadium,Moscow,18:00,15,7,2018,4,2,
Brazil,Croatia,Group Phase,Arena de Sao Paulo,Sao Paulo,17:00,12,6,2014,3,1,
Mexico,Cameroon,Group Phase,Estadio das Dunas,Natal,13:00,13,6,2014,1,0,
Spain,Netherlands,Group Phase,Arena Fonte Nova,Salvador,16:00,13,6,2014,1,5,
Chile,Australia,Group Phase,Arena Pantanal,Cuiaba,18:00,13,6,2014,3,1,
Colombia,Greece,Group Phase,Estadio Mineirao,Belo Horizonte,13:00,14,6,2014,3,0,
Uruguay,Costa Rica,Group Phase,Estadio Castelao,Fortaleza,16:00,14,6,2014,1,3,
England,Italy,Group Phase,Arena Amazonia,Manaus,18:00,14,6,2014,1,2,
Côte d'Ivoire,Japan,Group Phase,Arena Pernambuco,Recife,22:00,14,6,2014,2,1,
Switzerland,Ecuador,Group Phase,Estadio Nacional,Brasilia,13:00,15,6,2014,2,1,
France,Honduras,Group Phase,Estadio Beira-Rio,Porto Alegre,16:00,15,6,2014,3,0,
Argentina,Bosnia and Herzegovina,Group Phase,Estadio do Maracana,Rio De Janeiro,19:00,15,6,2014,2,1,
Germany,Portugal,Group Phase,Arena Fonte Nova,Salvador,13:00,16,6,2014,4,0,
IR Iran,Nigeria,Group Phase,Arena da Baixada,Curitiba,16:00,16,6,2014,0,0,
Ghana,USA,Group Phase,Estadio das Dunas,Natal,19:00,16,6,2014,1,2,
Belgium,Algeria,Group Phase,Estadio Mineirao,Belo Horizonte,13:00,17,6,2014,2,1,
Brazil,Mexico,Group Phase,Estadio Castelao,Fortaleza,16:00,17,6,2014,0,0,
Russia,Korea Republic,Group Phase,Arena Pantanal,Cuiaba,18:00,17,6,2014,1,1,
Australia,Netherlands,Group Phase,Estadio Beira-Rio,Porto Alegre,13:00,18,6,2014,2,3,
Spain,Chile,Group Phase,Estadio do Maracana,Rio De Janeiro,16:00,18,6,2014,0,2,
Cameroon,Croatia,Group Phase,Arena Amazonia,Manaus,18:00,18,6,2014,0,4,
Colombia,Côte d'Ivoire,Group Phase,Estadio Nacional,Brasilia,13:00,19,6,2014,2,1,
Uruguay,England,Group Phase,Arena de Sao Paulo,Sao Paulo,16:00,19,6,2014,2,1,
Japan,Greece,Group Phase,Estadio das Dunas,Natal,19:00,19,6,2014,0,0,
Italy,Costa Rica,Group Phase,Arena Pernambuco,Recife,13:00,20,6,2014,0,1,
Switzerland,France,Group Phase,Arena Fonte Nova,Salvador,16:00,20,6,2014,2,5,
Honduras,Ecuador,Group Phase,Arena da Baixada,Curitiba,19:00,20,6,2014,1,2,
Argentina,IR Iran,Group Phase,Estadio Mineirao,Belo Horizonte,13:00,21,6,2014,1,0,
Germany,Ghana,Group Phase,Estadio Castelao,Fortaleza,16:00,21,6,2014,2,2,
Nigeria,Bosnia and Herzegovina,Group Phase,Arena Pantanal,Cuiaba,18:00,21,6,2014,1,0,
Belgium,Russia,Group Phase,Estadio do Maracana,Rio De Janeiro,13:00,22,6,2014,1,0,
Korea Republic,Algeria,Group Phase,Estadio Beira-Rio,Porto Alegre,16:00,22,6,2014,2,4,
USA,Portugal,Group Phase,Arena Amazonia,Manaus,18:00,22,6,2014,2,2,
Australia,Spain,Group Phase,Arena da Baixada,Curitiba,13:00,23,6,2014,0,3,
Netherlands,Chile,Group Phase,Arena de Sao Paulo,Sao Paulo,13:00,23,6,2014,2,0,
Cameroon,Brazil,Group Phase,Estadio Nacional,Brasilia,17:00,23,6,2014,1,4,
Croatia,Mexico,Group Phase,Arena Pernambuco,Recife,17:00,23,6,2014,1,3,
Italy,Uruguay,Group Phase,Estadio das Dunas,Natal,13:00,24,6,2014,0,1,
Costa Rica,England,Group Phase,Estadio Mineirao,Belo Horizonte,13:00,24,6,2014,0,0,
